영문공항명,한글공항,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명,한글도시명
Kalaleh Airport,칼랄레 공항,KLM,n/a,중동,Iran,이란,Kalaleh,칼랄레
Kalamata International Airport,칼라마타 국제공항,KLX,LGKL,유럽,Greece,그리스,Kalamata,칼라마타
Kalamazoo Battle Creek International Airport,캘러머주/배틀크릭 국제공항,AZO,KAZO,북아메리카,United States of America,미국,Kalamazoo,캘러머주
Kalaupapa Airport,칼라우파파 공항,LUP,PHLU,북아메리카,United States of America,미국,Kalaupapa,칼라우파파
Kalbarri Airport,칼바리 공항,KAX,YKBR,아시아태평양,Australia,오스트레일리아,Kalbarri,칼바리
Kalemie Airport,칼레미 공항,FMI,FZRF,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Kalemie,칼레미
Kalemyo Airport,칼레묘 공항,KMV,n/a,아시아태평양,Myanmar,미얀마,Kalaymyo,칼레묘
Kalgoorlie-Boulder Airport,칼굴리 볼더 공항,KGI,YPKG,아시아태평양,Australia,오스트레일리아,Kalgoorlie,칼굴리
Kalibo Airport,칼리보 국제공항,KLO,RPVK,아시아태평양,Philippines,필리핀,Kalibo,칼리보
Kaliningrad Khrabrovo Airport,크라브로보 공항,KGD,UMKK,유럽,Russian Federation,러시아,Kaliningrad,칼리닌그라드
Kalispell Glacier Park International Airport,글레이셔 파크 국제공항,FCA,KGPI,북아메리카,United States of America,미국,Kalispell,칼리스펠
Kalma Wonsan International Airport,갈마 원산국제공항,WOS,ZKWS,아시아태평양,North Korea,조선민주주의인민공화국,Kalma Wonsan,원산
Kalmar Airport,칼마르 공항,KLR,ESMQ,유럽,Sweden,스웨덴,Kalmar,칼마르
Kalskag Municipal Airport,칼스카그 공항,KLG,PALG,북아메리카,United States of America,미국,Kalskag,칼스카그
Kaltag Airport,칼탁 공항,KAL,PAKV,북아메리카,United States of America,미국,Kaltag,칼탁
Kaluga Grabtsevo Airport,그라브체보 공항,KLF,UUBC,유럽,Russian Federation,러시아,Kaluga,칼루가
Kalymnos Island Airport,칼림노스 아일랜드 내셔널 공항,JKL,LGKY,유럽,Greece,그리스,Kalymnos,칼림노스
Kamalpur Airport,카말푸르 공항,IXQ,VEKM,아시아태평양,India,인도,Kamalpur,카말푸르
Kamembe Airport,카멤베 공항,KME,HRZA,아프리카,Rwanda,르완다,Cyangugu,샹구구
Kameshli Al-Qamishli Airport,카미슐리 공항,KAC,OSKL,중동,Syria,시리아,Kamishly,카미슐리
Kamloops Airport,캠룹스 공항,YKA,CYKA,북아메리카,Canada,캐나다,Kamloops,캠룹스
Kananga Airport,카낭가 공항,KGA,FZUA,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Kananga,카낭가
Kandahar Airport,칸다하르 국제공항,KDH,OAKN,아시아태평양,Afghanistan,아프가니스탄,Kandahar,칸다하르
Kandla Airport,칸들라 공항,IXY,VAKE,아시아태평양,India,인도,Kandla,칸들라
Kangaatsiaq Heliport,캉가시아크 헬리포트,QPW,BGKA,유럽,Greenland,그린란드,Kangaatsiaq,캉가시아크
Kangding Airport,캉딩 공항,KGT,ZUKD,아시아태평양,China,중국,Kangding,캉딩
Kangerlussuaq Airport,캉게를루수아크 공항,SFJ,BGSF,유럽,Greenland,그린란드,Kangerlussuaq,캉게를루수아크
Kangersuatsiaq Heliport,캉게르수아시아크 헬리포트,KGQ,BGKS,유럽,Greenland,그린란드,Kangersuatsiaq,캉게르수아시아크
Kangiqsualujjuaq Airport,캥그프샬르주악 공항,XGR,CYLU,북아메리카,Canada,캐나다,Kangiqsualujjuaq,캉긱수알루주악
Kangiqsujuaq Airport,캉긱수주아크 공항,YWB,CYKG,북아메리카,Canada,캐나다,Kangiqsujuaq,캉긱수주아크
Kangirsuk Airport,강기르숙 공항,YKG,CYAS,북아메리카,Canada,캐나다,Kangirsuk,강기르숙
Kangra Gaggal Airport,개갈 공항,DHM,VIGG,아시아태평양,India,인도,Kangra,캉그라
Kannur International Airport,칸누르 국제공항,CNN,VOKN,아시아태평양,India,인도,Kannur,칸누르
Kano Mallam Aminu International Airport,말람 아미누 카노 국제공항,KAN,DNKN,아프리카,Nigeria,나이지리아,Kano,카노
Kanpur Airport,칸푸르 공항,KNU,VIKA,아시아태평양,India,인도,Kanpur,칸푸르
Kansas City International Airport,캔자스시티 국제공항,MCI,KMCI,북아메리카,United States of America,미국,Kansas City,캔자스시티
Kansas City New Century Aircenter Airport,뉴 센추리 에어센터,JCI,KIXD,북아메리카,United States of America,미국,Olathe,올레이스
Kansas City Wheeler Downtown Airport,찰스 B. 휠러 다운타운 공항,MKC,KMKC,북아메리카,United States of America,미국,Kansas City,캔자스시티
Kaohsiung International Airport,가오슝 국제공항,KHH,RCKH,아시아태평양,Taiwan,대만,Kaohsiung,가오슝
Kapalua Airport,카팔루아 공항,JHM,PHJH,북아메리카,United States of America,미국,Kapalua,카팔루아
Kapuskasing Airport,카푸스카싱 공항,YYU,n/a,북아메리카,Canada,캐나다,Kapuskasing,카푸스카싱
Karachi Jinnah International Airport,진나 국제공항,KHI,OPKC,아시아태평양,Pakistan,파키스탄,Karachi,카라치
Karaganda Airport,사리아르카 공항,KGF,UAKK,아시아태평양,Kazakhstan,카자흐스탄,Karaganda,카라간다
Karaj Payam Airport,파얌 국제공항,PYK,OIIP,중동,Iran,이란,Karaj,카라지
Karakol International Airport,카라콜 국제공항,n/a,UCFP,아시아태평양,Kyrgyzstan,키르기스스탄,Karakol,카라콜
Karamay Airport,카라메이 공항,KRY,ZWKM,아시아태평양,China,중국,Karamay,커라마이
Karasburg Airport,카라스버그 공항,KAS,n/a,아프리카,Namibia,나미비아,Karasburg,카라스버그
Kardla Airport,케르들라 공항,KDL,EEKA,유럽,Estonia,에스토니아,Kardla,캐르들라
Kargil Airport,카르길 공항,n/a,n/a,아시아태평양,India,인도,Kargil,카르길
Kariba Airport,카리바 공항,KAB,FVKB,아프리카,Zimbabwe,짐바브웨,Kariba,카리바
Karimunjawa Dewadaru Airport,데와다루 공항,KWB,WAHU,아시아태평양,Indonesia,인도네시아,Karimun Java,카리문자와
Karlovy Vary International Airport,카를로비바리 공항,KLV,LKKV,유럽,Czech Republic,체코,Karlovy Vary,카를로비바리
Karlsruhe/Baden-Baden Airport,카를스루에/바덴바덴 공항,FKB,EDSB,유럽,Germany,독일,Karlsruhe,카를스루에
Karlstad Airport,칼스타드 공항,KSD,ESOK,유럽,Sweden,스웨덴,Karlstad,칼스타드
Karluk Airport,카를룩 공항,KYK,PAKY,북아메리카,United States of America,미국,Karluk,카를룩
Karonga Airport,카롱가 공항,KGJ,n/a,아프리카,Malawi,말라위,Karonga,카롱가
Karpathos Airport,카르파토스 아일랜드 내셔널 공항,AOK,LGKP,유럽,Greece,그리스,Karpathos,카르파토스
Karratha Airport,카라타 공항,KTA,YPKA,아시아태평양,Australia,오스트레일리아,Karratha,카라타
Kars Airport,카르스 하라카니 공항,KSY,LTCF,중동,Turkiye,터키,Kars,카르스
Karshi Airport,카르시 공항,KSQ,UZSK,아시아태평양,Uzbekistan,우즈베키스탄,Karshi,카르시
Karumba Airport,카룸바 공항,KRB,YKMB,아시아태평양,Australia,오스트레일리아,Karumba,카룸바
Karup Midtjyllands Airport,카룹 공항,KRP,EKKA,유럽,Denmark,덴마크,Karup,카루프
Kasaan Seaplane Base,카산 수상비행기 기지,KXA,n/a,북아메리카,United States of America,미국,Kasaan,카산
Kasabonika Airport,카사보니카 공항,XKS,CYAQ,북아메리카,Canada,캐나다,Kasabonika,카사보니카
Kasama Airport,가사마 공항,KAA,FLKS,아프리카,Zambia,잠비아,Kasama,카사마
Kasane International Airport,카사네 공항,BBK,FBKE,아프리카,Botswana,보츠와나,Kasane,카사네
Kaschechewan Airport,카셰체완 공항,ZKE,n/a,북아메리카,Canada,캐나다,Kashechewan,카셰체완
Kasenga Airport,카센가 공항,KEC,n/a,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Kasenga,카센가
Kasese Airport,카세세 공항,KSE,HUKS,아프리카,Uganda,우간다,Kasese,카세세
Kashan Airport,카샨 공항,KKS,OIFK,중동,Iran,이란,Kashan,카샨
Kashi Lining International Airport,카슈가르 공항,KHG,ZWSH,아시아태평양,China,중국,Kashgar,카슈가르
Kasigluk Airport,카시글룩 공항,KUK,n/a,북아메리카,United States of America,미국,Kasigluk,카시글룩
Kasos Island Airport,카소스 아일랜드 공항,KSJ,LGKS,유럽,Greece,그리스,Kasos Island,카소스 섬
Kassala Airport,카살라 공항,KSL,HSKA,아프리카,Sudan,수단,Kassala,카살라
Kassel Calden Airport,카셀 공항,KSF,EDVK,유럽,Germany,독일,Kassel,카셀
Kastamonu Airport,카스타모누 공항,KFS,LTAL,중동,Turkiye,터키,Kastamonu,카스타모누
Kastoria Aristotelis Airport,카스토리아 내셔널 공항,KSO,LGKA,유럽,Greece,그리스,Kastoria,카스토리아
Katherine Tindal Civilian Airport,호주왕립공군군사기지 베이스 틴달,KTR,YPTN,아시아태평양,Australia,오스트레일리아,Katherine,캐서린
Kathmandu Tribhuvan Airport,트리부반 국제공항,KTM,VNKT,아시아태평양,Nepal,네팔,Kathmandu,카트만두
Katiu Airport,카티우 공항,KXU,NTKT,아시아태평양,French Polynesia,프랑스령 폴리네시아,Katiu,카티우
Katowice Airport,카토비체 국제공항,KTW,EPKT,유럽,Poland,폴란드,Katowice,카토비체
Katsina Airport,카치나 공항,DKA,DNKT,아프리카,Nigeria,나이지리아,Katsina,카치나
Kau Airport,쿠아방 공항,KAZ,WAEK,아시아태평양,Indonesia,인도네시아,Kao,카오
Kauehi Airport,카우에히 비행장,KHZ,NTKA,아시아태평양,French Polynesia,프랑스령 폴리네시아,Kauehi,카우에히
Kaukura Atoll Airport,카우쿠라 공항,KKR,NTGK,아시아태평양,French Polynesia,프랑스령 폴리네시아,Kaukura Atoll,카우쿠라 환초
Kaunas International Airport,카우나스 국제공항,KUN,EYKA,유럽,Lithuania,리투아니아,Kaunas,카우나스
Kavala Megas Alexandros Airport,카발라 국제공항,KVA,LGKV,유럽,Greece,그리스,Kavala,카발라
Kavalerovo Airport,카발레로보 공항,KVR,n/a,유럽,Russian Federation,러시아,Kavalerovo,카발레로보
Kavieng Airport,카비엥 공항,KVG,AYKV,아시아태평양,Papua New Guinea,파푸아뉴기니,Kavieng,카비엥
Kawthaung Airport,카우타웅 공항,KAW,n/a,아시아태평양,Myanmar,미얀마,Kawthaung,코타웅
Kayes Airport,카이스 공항,KYS,GAKD,아프리카,Mali,말리,Kayes,카예
Kayseri Erkilet Airport,에르킬레트 국제공항,ASR,LTAU,중동,Turkiye,터키,Kayseri,카이세리
Kazan Airport,카잔 국제공항,KZN,UWKD,유럽,Russian Federation,러시아,Kazan,카잔
Kazarman Airport,카자르만 공항,n/a,UAFZ,아시아태평양,Kyrgyzstan,키르기스스탄,Kazarman,카자르만
Kearney Regional Airport,카니 공항,EAR,KEAR,북아메리카,United States of America,미국,Kearney,커니
Kediri Dhoho International Airport,케디리 도호 국제공항,DHX,WARD,아시아태평양,Indonesia,인도네시아,Kediri Dhoho,크디리 도호
Keekorok Airport,키코록 공항,KEU,HKKE,아프리카,Kenya,케냐,Keekorok,키코록
Keetmanshoop Airport,키트만스후프 공항,KMP,FYKT,아프리카,Namibia,나미비아,Keetmanshoop,키트만스후프
Keewaywin Airport,키웨이윈 공항,KEW,n/a,북아메리카,Canada,캐나다,Keewaywin,키웨이윈
Kefallinia/Kefalonia Airport,케팔로니아 국제공항,EFL,LGKF,유럽,Greece,그리스,Kefallinia,케팔로니아
Kegaska Airport,케가스카 공항,ZKG,n/a,북아메리카,Canada,캐나다,Kegaska,케가스카
Kelowna International Airport,킬로나 국제공항,YLW,CYLW,북아메리카,Canada,캐나다,Kelowna,킬로나
Kemerovo Airport,케메로보 국제공항,KEJ,UNEE,유럽,Russian Federation,러시아,Kemerovo,케메로보
Kemi/Tornio Airport,케미토르니오 공항,KEM,EFKE,유럽,Finland,핀란드,Kemi-Tornio,케미 토르니오
Ken Jones Aerodrome,켄 존스 비행장,POT,MKKJ,카리브해,Jamaica,자메이카,Port Antonio,포트안토니오
Kenai Airport,케나이 공항,ENA,PAEN,북아메리카,United States of America,미국,Kenai,케나이
Kendari Wolter Monginsidi Airport,할루올레오 공항,KDI,WAWW,아시아태평양,Indonesia,인도네시아,Kendari,켄다리
Keng Tung Airport,켕퉁 공항,KET,n/a,아시아태평양,Myanmar,미얀마,Kengtung,켕퉁
Kenora Airport,케노라 공항,YQK,CYQK,북아메리카,Canada,캐나다,Kenora,케노라
Kenosha Regional Airport,케노샤 공항,ENW,KENW,북아메리카,United States of America,미국,Kenosha,커노샤
Keperveyem Airport,케퍼베옐 공항,KPW,UHMK,유럽,Russian Federation,러시아,Keperveyem,케페르베염
Kerben Airport,케르벤 공항,n/a,UAFE,아시아태평양,Kyrgyzstan,키르기스스탄,Kerben,케르벤
Kerema Airport,케레마 공항,KMA,n/a,아시아태평양,Papua New Guinea,파푸아뉴기니,Kerema,케레마
Kerikeri Airport,케리케리 공항,KKE,NZKK,아시아태평양,New Zealand,뉴질랜드,Kerikeri,케리케리
Kerinci Depati Parbo Airport,데파티 파르보 공항,KRC,n/a,아시아태평양,Indonesia,인도네시아,Kerinci,크린치
Kerki Airport,케르키 공항,KEA,UTAE,아시아태평양,Turkmenistan,투르크메니스탄,Kerki,케르키
Kerkyra Corfu International Airport,코르푸 국제공항,CFU,LGKR,유럽,Greece,그리스,Corfu,코르푸
Kerman Airport,케르만 공항,KER,OIKK,중동,Iran,이란,Kerman,케르만
Kermanshah Airport,사히드 아쉬라피 에스파하니 공항,KSH,OICC,중동,Iran,이란,Kermanshah,케르만샤
Kerry Airport,케리 공항,KIR,EIKY,유럽,Ireland,아일랜드,Kerry,케리
Kerteh Airport,케르테 공항,KTE,WMKE,아시아태평양,Malaysia,말레이시아,Kerteh,케르테
Keshod Airport,케쇼드 공항,IXK,VAKS,아시아태평양,India,인도,Keshod,케쇼드
Ketapang Airport,라하디 오스만 공항,KTG,WIOK,아시아태평양,Indonesia,인도네시아,Ketapang,케타팡
Ketchikan International Airport,케치칸 국제공항,KTN,PAKT,북아메리카,United States of America,미국,Ketchikan,케치칸
Key West International Airport,키웨스트 국제공항,EYW,KEYW,북아메리카,United States of America,미국,Key West,키웨스트
Khabarovsk Novy Airport,하바롭스크 노비 공항,KHV,UHHH,유럽,Russian Federation,러시아,Khabarovsk,하바롭스크
Khajuraho Airport,카주라호 민간 비행장,HJR,VAKJ,아시아태평양,India,인도,Khajuraho,카주라호
Khamtis Airport,캄티 공항,KHM,n/a,아시아태평양,Myanmar,미얀마,Khamti,캄티
Khandyga Tyopliy Klyuch Airport,테플리 클류치 공항,KDY,UEMH,유럽,Russian Federation,러시아,Khandyga,한디가
Khanidanda Airport,만 마야 공항,KDN,VNKD,아시아태평양,Nepal,네팔,Khanidanda,카니다다
Khanty-Mansiysk Airport,한티 만시스크 공항,HMA,USHH,유럽,Russian Federation,러시아,Khanty-Mansiysk,한티만시스크
Khark Airport,카르그 공항,KHK,OIBQ,중동,Iran,이란,Kharg Island,하르그섬
Kharkiv International Airport,하르키우 국제공항,HRK,UKHH,유럽,Ukraine,우크라이나,Kharkiv,하르키우
Khartoum International Airport,하르툼 국제공항,KRT,HSSS,아프리카,Sudan,수단,Khartoum,하르툼
Khasab Airport,카삽 공항,KHS,OOKB,중동,Oman,오만,Khasab,카삽
Khatanga Airport,카탕가 공항,HTG,UOHH,유럽,Russian Federation,러시아,Khatanga,하탕가
Khatgal Airport,카트갈 공항,HTM,n/a,아시아태평양,Mongolia,몽골,Khatgal,하트갈
Kherson Airport,헤르손 국제공항,KHE,UKOH,유럽,Ukraine,우크라이나,Kherson,헤르손
Khmelnytskyi Airport,크멜니츠키 공항,HMJ,UKLH,유럽,Ukraine,우크라이나,Khmelnytsky,흐멜니츠키
Khon Kaen Airport,콘캔 공항,KKC,VTUK,아시아태평양,Thailand,태국,Khon Kaen,콘캔
Khorog Airport,코로그 공항,n/a,UTOD,아시아태평양,Tajikistan,타지키스탄,Khorog,호로그
Khorramabad Airport,코라마바드 공항,KHD,OICK,중동,Iran,이란,Khorramabad,호람아바드
Khost Chapman Airport,고스트 비행장,KHT,OAKS,아시아태평양,Afghanistan,아프가니스탄,Khost,고스트
Khotang Bazar Thamkharkar Airport,코탕 바자르 탐하카르 공항,TMK,VNTH,아시아태평양,Nepal,네팔,Khotang,코탕
Khovd Airport,호브드 공항,HVD,ZMKD,아시아태평양,Mongolia,몽골,Khovd,호브드
Khoy Airport,코이 공항,KHY,OITK,중동,Iran,이란,Khoy,호이
Khujand International Airport,후잔트 공항,LBD,UTDL,아시아태평양,Tajikistan,타지키스탄,Khujand,후잔트
Kiana Bob Baker Memorial Airport,밥 베이커 메모리얼 공항,IAN,n/a,북아메리카,United States of America,미국,Kiana,키아나
Kichwa Tembo Airport,키츠와 템보 공항,KTJ,HKTB,아프리카,Kenya,케냐,Narok,나로크
Kiel Airport,킬 공항,KEL,EDHK,유럽,Germany,독일,Kiel,킬
Kieta Aropa Airport,아로파 공항,KIE,AYIQ,아시아태평양,Papua New Guinea,파푸아뉴기니,Kieta,키에타
Kigali International Airport,키갈리 국제공항,KGL,HRYR,아프리카,Rwanda,르완다,Kigali,키갈리
Kigoma Airport,키고마 공항,TKQ,HTKA,아프리카,Tanzania,탄자니아,Kigoma,키고마
Kihihi Airport,키히히 활주로,KHX,n/a,아프리카,Uganda,우간다,Kihihi,키히히
Kikaiga Shima Airport,기카이 공항,KKX,RJKI,아시아태평양,Japan,일본,Kikai,기카이
Kikori Airport,키코리 공항,KRI,n/a,아시아태평양,Papua New Guinea,파푸아뉴기니,Kikori,키코리
Kili Island Airport,킬리 공항,KIO,n/a,아시아태평양,Marshall Islands,마샬 군도,Kili Island,킬리 섬
Kilimanjaro Airport,킬리만자로 국제공항,JRO,HTKJ,아프리카,Tanzania,탄자니아,Kilimanjaro,킬리만자로
Killeen/Fort Hood Regional Airport,킬린 포트 후드 공항,GRK,KGRK,북아메리카,United States of America,미국,Killeen,킬린
Kilwa Masoko Airport,킬와 마소코 공항,KIY,HTKI,아프리카,Tanzania,탄자니아,Kilwa Masoko,킬와마소코
Kimberley Airport,킴벌리 공항,KIM,FAKM,아프리카,South Africa,남아프리카,Kimberley,킴벌리
Kimmirut/Lake Harbour Kimmirut Airport,킴미루트 공항,YLC,CYLC,북아메리카,Canada,캐나다,Kimmirut,킴미루트
Kindu Airport,킨두 공항,KND,FZOA,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Kindu,킨두
King Cove Airport,킹 코브 공항,KVC,PAVC,북아메리카,United States of America,미국,King Cove,킹코브
King Island Airport,킹 아일랜드 공항,KNS,YKII,아시아태평양,Australia,오스트레일리아,King Island,킹 섬
King Khalid Military City Airport,킹 칼리드 군사도시 공항,KMC,n/a,중동,Saudi Arabia,사우디아라비아,King Khalid,킹칼리드
King Phalo Airport,킹 팔로 공항,ELS,FAEL,아프리카,South Africa,남아프리카,East London,이스트런던
King Salmon Airport,킹 새먼 공항,AKN,PAKN,북아메리카,United States of America,미국,King Salmon,킹새먼
Kingfisher Lake Airport,킹피셔 레이크 공항,KIF,n/a,북아메리카,Canada,캐나다,Kingfisher Lake,킹피셔레이크
Kingman Airport,킹맨 공항,IGM,KIGM,북아메리카,United States of America,미국,Kingman,킹먼
Kingscote Airport,킹스코트 공항,KGC,YKSC,아시아태평양,Australia,오스트레일리아,Kingscote,킹스코트
Kingston Norman Manley International Airport,노먼 맨리 국제공항,KIN,MKJP,카리브해,Jamaica,자메이카,Kingston,킹스턴
Kingston Norman Rogers Airport,킹스턴/노먼 로저스 공항,YGK,CYGK,북아메리카,Canada,캐나다,Kingston,킹스턴
Kingston Tinson Airport,틴슨 펜 비행장,KTP,n/a,카리브해,Jamaica,자메이카,Kingston,킹스턴
Kinmen Shang-Yi Airport,진먼 공항,KNH,RCBS,아시아태평양,Taiwan,대만,Kinmen,진먼
Kinshasa N'Djili Airport,은질리 공항,FIH,FZAA,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Kinshasa,킨샤사
Kinshasa N'Dolo Airport,은돌로 공항,NLO,FZAB,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Kinshasa,킨샤사
Kinston Regional Jetport,킨스턴 지역 제트포트,ISO,KISO,북아메리카,United States of America,미국,Kinston,킨스턴
Kipnuk Sea Plane Base,킵누크 수상비행장,KPN,n/a,북아메리카,United States of America,미국,Kipnuk,킵넉
Kirakira Airport,키라키라 공항,IRA,AGGK,아시아태평양,Solomon Islands,솔로몬 제도,Kirakira,키라키라
Kirensk Airport,키렌스크 공항,KCK,UIKK,유럽,Russian Federation,러시아,Kirensk,키렌스크
Kiri Airport,바상고 음볼리아사 공항,KRZ,n/a,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Kiri,키리
Kirkenes Hoeybuktmoen Airport,키르케네스 공항,KKN,ENKR,유럽,Norway,노르웨이,Kirkenes,키르케네스
Kirksville Regional Airport,커크스빌 공항,IRK,KIRK,북아메리카,United States of America,미국,Kirksville,커크스빌
Kirkuk Airport,키르쿠크 공항,KIK,ORKK,중동,Iraq,이라크,Kirkuk,키르쿠크
Kirkwall Airport,커크월 공항,KOI,EGPA,유럽,United Kingdom,영국,Kirkwall,커크월
Kirov Pobedilovo Airport,포베딜로보 공항,KVX,USKK,유럽,Russian Federation,러시아,Kirov,키로프
Kirovsk/Apatity Khibiny Airport,키로프스크 아파티티 공항,KVK,ULMK,유럽,Russian Federation,러시아,Kirovsk-Apatity,키로프스크 아파티티
Kiruna Airport,키루나 공항,KRN,ESNQ,유럽,Sweden,스웨덴,Kiruna,키루나
Kisangani Airport,방고카 국제공항,FKI,FZIC,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Kisangani,키상가니
Kish Island Airport,키시 국제공항,KIH,OIBK,중동,Iran,이란,Kish Island,키시 섬
Kisimayu Airport,키스마요 공항,KMU,HCMK,아프리카,Somalia,소말리아,Kismayo,키스마요
Kisumu Airport,키수무 국제공항,KIS,HKKI,아프리카,Kenya,케냐,Kisumu,키수무
Kitadaito Airport,기타다이토 공항,KTD,RORK,아시아태평양,Japan,일본,Kitadaito,기타다이토
Kitakyushu Airport,기타큐슈 공항,KKJ,RJFR,아시아태평양,Japan,일본,Kitakyushu,기타큐슈
Kitale Airport,키탈레 공항,KTL,HKKT,아프리카,Kenya,케냐,Kitale,키탈레
Kitsissuarsuit Heliport,키치수아르수이트 헬리포트,QJE,BGKT,유럽,Greenland,그린란드,Kitsissuarsuit,키치수아르수이트
Kittila Airport,키틸라 공항,KTT,EFKT,유럽,Finland,핀란드,Kittila,키틸래
Kitui Bay Sea Plane Base,키토이만 수상비행장,KKB,n/a,북아메리카,United States of America,미국,Kitoi Bay,키토이만
Kitwe Southdowns Airport,사우스다운스 공항,KIW,n/a,아프리카,Zambia,잠비아,Kitwe,키트웨
Kiunga Airport,기웅가 공항,UNG,AYKI,아시아태평양,Papua New Guinea,파푸아뉴기니,Kiunga,기웅가
Kivalina Airport,키발리나 공항,KVL,PAVL,북아메리카,United States of America,미국,Kivalina,키발리나
Klagbay Airport,클래그베이 공항,n/a,n/a,북아메리카,United States,미국,Klagbay,클래그베이
Klagenfurt Airport,클라겐푸르트 공항,KLU,LOWK,유럽,Austria,오스트리아,Klagenfurt,클라겐푸르트
Klawock Airport,클라웍 공항,KLW,PAKW,북아메리카,United States of America,미국,Klawock,클라웍
Klemtu Airport,클렘투 수상비행장,YKT,n/a,북아메리카,Canada,캐나다,Klemtu,클렘투
Kleyate Airport,르네 무아와드 공군기지,KYE,OLKA,중동,Lebanon,레바논,Tripoli,트리폴리
Knoxville McGhee Tyson Airport,맥기 타이슨 공항,TYS,KTYS,북아메리카,United States of America,미국,Knoxville,녹스빌
Kobuk/Wien Airport,고북공항,OBU,PAOB,북아메리카,United States of America,미국,Kobuk,고북
Kochi Ryoma Airport,고치 료마 공항,KCZ,RJOK,아시아태평양,Japan,일본,Kochi,고치
Kochi/Cochin International Airport,코친 국제공항,COK,VOCI,아시아태평양,India,인도,Kochi,코치
Kodiak Benny Benson State Airport,코디악 공항,ADQ,PADQ,북아메리카,United States of America,미국,Kodiak,코디액
Kodiak Municipal Airport,코디악 공항,KDK,n/a,북아메리카,United States of America,미국,Kodiak,코디액
Kogalym Airport,코갈림 국제공항,KGP,USRK,유럽,Russian Federation,러시아,Kogalym,코갈림
Koggala Airport,코갈라 공항,KCT,VCCK,아시아태평양,Sri Lanka,스리랑카,Koggala,코갈라
Koh Samui Airport,사무이 공항,USM,VTSM,아시아태평양,Thailand,태국,Ko Samui,코사무이
Kokkola/Pietarsaari Kruunupyy Airport,코콜라 피에타르사리 공항,KOK,EFKK,유럽,Finland,핀란드,Kokkola-Pietarsaari,코콜라 피에타르사리
Kokoda Airport,코코다 공항,KKD,n/a,아시아태평양,Papua New Guinea,파푸아뉴기니,Kokoda,코코다
Kokshetau Airport,콕셰타우 공항,KOV,UACK,아시아태평양,Kazakhstan,카자흐스탄,Kokshetau,콕셰타우
Kolda North Airport,콜다 노스 공항,KDA,n/a,아프리카,Senegal,세네갈,Kolda,콜다
Kolhapur Airport,콜라푸르 공항,KLH,VAKP,아시아태평양,India,인도,Kolhapur,콜라푸르
Kolkata Netaji Subhas Chandra Bose Airport,네타지 수바스 찬드라 보스 국제공항,CCU,VECC,아시아태평양,India,인도,Kolkata,콜카타
Kolwezi Airport,콜웨지 공항,KWZ,n/a,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Kolwezi,콜웨지
Komatsu Airport,고마쓰 공항,KMQ,RJNK,아시아태평양,Japan,일본,Komatsu,고마쓰
Komodo Airport,코모도 공항,LBJ,WATO,아시아태평양,Indonesia,인도네시아,Labuan Bajo,라부안바조
Komo-Manda Airport,코모만다 공항,KOM,n/a,아시아태평양,Papua New Guinea,파푸아뉴기니,Komo-Manda,코모만다
Komsomolsk-on-Amur Khurba Airport,콤소몰스크 온 아무르 공항,KXK,UHKK,유럽,Russian Federation,러시아,Komsomolsk-on-Amur,콤소몰스크나아무레
Kona International Airport,케아홀 코나 국제공항,KOA,PHKO,북아메리카,United States of America,미국,Kona,코나
Kone Airport,코네 공항,KNQ,NWWD,아시아태평양,New Caledonia,뉴칼레도니아,Kone,코네
Kongiganak Airport,콩기가낙 공항,KKH,PADY,북아메리카,United States of America,미국,Kongiganak,콩기가낙
Kongolo Airport,콩골로 공항,KOO,FZRQ,아프리카,Democratic Republic of the Congo,콩고 민주공화국,Kongolo,콩골로
Konya Airport,콘야 공항,KYA,LTAN,중동,Turkiye,터키,Konya,콘야
Kooddoo Airport,쿠두 공항,GKK,VRMO,아시아태평양,Maldives,몰디브,Kooddoo,쿠두
Korhogo Airport,코로고 공항,HGO,DIKO,아프리카,Cote d'Ivoire,코트디부아르,Korhogo,코로고
Korla Airport,코를라 공항,KRL,ZWKL,아시아태평양,China,중국,Korla,쿠를라
Koro Airport,고로 공항,KXF,NFNO,아시아태평양,Fiji,피지,Koro,고로
Koromiko Airport,코로미코 공항,PCN,n/a,아시아태평양,New Zealand,뉴질랜드,Koromiko,코로미코
Kortrijk Wevelgem Flanders International Airport,코르트레이크 베벨겜 국제공항,KJK,EBKT,유럽,Belgium,벨기에,Kortrijk,코르트레이크
Kos Ippokratis Airport,코스 아일랜드 국제공항,KGS,LGKO,유럽,Greece,그리스,Kos,코스 섬
Kosice Barca Airport,코시체 국제공항,KSC,LZKZ,유럽,Slovakia,슬로바키아,Kosice,코시체
Kosrae International Airport,코스라에 국제공항,KSA,PTSA,아시아태평양,Micronesia,미크로네시아연방,Kosrae,코스라에
